j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
abdomen,muški,abdomena,abdomenu,abdomen,abdomen,abdomenu,abdomenom,abdomeni,abdomena,abdomenima,abdomena,abdomeni,abdomenima,abdomenima
abolicija,ženski,abolicije,aboliciji,aboliciju,abolicijo,aboliciji,abolicijom,abolicije,abolicija,abolicijama,abolicije,abolicije,abolicijama,abolicijama
abonent,muški,abonenta,abonentu,abonenta,abonente,abonentu,abonentom,abonenti,abonenata,abonentima,abonente,abonenti,abonentima,abonentima
abortus,muški,abortusa,abortusu,abortus,abortuse,abortusu,abortusom,abortusi,abortusa,abortusima,abortuse,abortusi,abortusima,abortusima
Afrikanka,ženski,Afrikanke,Afrikanki,Afrikanke,Afrikanko,Afrikanko,Afrikankom,Afrikanke,Afrikanki,Afrikankama,Afrikanke,Afrikanke,Afrikankama,Afrikankama
ada,ženski,ade,adi,adu,ado,adi,adom,ade,ada,adama,ade,ade,adama,adama
adamit,muški,adamita,adamitu,adamita,adamitu,adamitu,adamitom,adamiti,adamita,adamitima,adamite,adamiti,adamitima,adamitima
administracija,ženski,administracije,administraciji,administraciju,administracijo,administraciji,administracijom,administracije,administracija,administracijama,administracije,administracije,administracijama,administracijama
adresa,ženski,adrese,adresi,adresu,adreso,adresi,adresom,adrese,adresa,adresama,adrese,adrese,adresama,adresama
advokat,muški,advokata,advokatu,advokata,advokate,advokatu,advokatom,advokati,advokata,advokatima,advokate,advokati,advokatima,advokatima
aerodrom,muški,aerodroma,aerodromu,aerodrom,aerodrome,aerodromu,aerodromom,aerodromi,aerodroma,aerodromima,aerodrome,aerodromi,aerodromima,aerodromima
Afrikanac,muški,Afrikanca,Afrikancu,Afrikanca,Afrikanče,Afrikancu,Afrikancem,Afrikanci,Afrikanaca,Afrikancima,Afrikance,Afrikanci,Afrikancima,Afrikancima
agencija,ženski,agencije,agenciji,agenciju,agencijo,agenciji,agencijom,agencije,agencija,agencijama,agencije,agencije,agencijama,agencijama
agnosticizam,muški,agnosticizma,agnosticizmu,agnosticizma,agnosticizme,agnosticizmu,agnosticizmom,agnosticizmi,agnosticizama,agnosticizmima,agnosticizmi,agnosticizmi,agnosticizmima,agnosticizmima
agresija,ženski,agresije,agresiji,agresiju,agresijo,agresiji,agresijom,agresije,agresija,agresijama,agresije,agresije,agresijama,agresijama
agrikultura,ženski,agrikulture,agrikulturi,agrikulturu,agrikulturo,agrikulturi,agrikulturom,agrikulture,agrikultura,agrikulturama,agrikulture,agrikulture,agrikulturama,agrikulturama
akademija,ženski,akademije,akademiji,akademiju,akademijo,akademiji,akademijom,akademije,akademija,akademijama,akademija,akademije,akademijama,akademijama
akontacija,ženski,akontacije,akontaciji,akontaciju,akontacijo,akontaciji,akontacijom,akontacije,akontacija,akontacijama,akontacije,akontacije,akontacijama,akontacijama
akreditiv,muški,akreditiva,akreditivu,akreditiv,akreditive,akreditivu,akreditivom,akreditivi,akreditiva,akreditivima,akreditive,akreditivi,akreditivima,akreditivima
akrobacija,ženski,akrobacije,akrobaciji,akrobaciju,akrobacijo,akrobaciji,akrobacijom,akrobacije,akrobacija,akrobacijama,akrobacije,akrobacije,akrobacijama,akrobacijama
aktinolit,muški,aktinolita,aktinolitu,aktinolit,aktinolite,aktinolitu,aktinolitom,aktinoliti,aktinolita,aktinolitima,aktinolite,aktinoliti,aktinolitima,aktinolitima
aktiv,muški,aktiva,aktivu,aktiv,aktiv,aktivu,aktivom,aktivi,aktiva,aktivima,aktive,aktivi,aktivima,aktivima
aktivist,muški,aktivista,aktivistu,aktivista,aktiviste,aktivistu,aktivistom,aktivisti,aktivista,aktivistima,aktiviste,aktivisti,aktivistima,aktivistima
akuzativ,muški,akuzativa,akuzativu,akuzativ,akuzativ,akuzativu,akuzativom,akuzativi,akuzativa,akuzativima,akuzative,akuzativi,akuzativima,akuzativima
akvarij,muški,akvarija,akvariju,akvarij,akvariju,akvariju,akvarijem,akvariji,akvarija,akvarijima,akvarije,akvariji,akvarijima,akvarijima
ambulanta,ženski,ambulante,ambulanti,ambulantu,ambulanto,ambulanti,ambulantom,ambulante,ambulanti,ambulantama,ambulante,ambulante,ambulantama,ambulantama
alat,muški,alata,alatu,alat,alate,alatu,alatom,alati,alata,alatima,alate,alati,alatima,alatima
amblem,muški,amblema,amblemu,amblem,ambleme,amblemu,amblemom,amblemi,amblema,amblemima,ambleme,amblemi,amblemima,amblemima
Albanka,ženski,Albanke,Albanki,Albanke,Albanko,Albanki,Albankom,Albanke,Albanki,Albankama,Albanke,Albanke,Albankama,Albankama
alegorija,ženski,alegorije,alegoriji,alegoriju,alegorijo,alegoriji,alegorijom,alegorije,alegorija,alegorijama,alegorije,alegorije,alegorijama,alegorijama
alergija,ženski,alergije,alergiji,alergiju,alergijo,alergiji,alergijom,alergije,alergija,alergijama,alergije,alergije,alergijama,alergijama
aliteracija,ženski,aliteracije,aliteraciji,aliteraciju,aliteracijo,aliteraciji,aliteracijom,aliteracije,aliteracija,aliteracijama,aliteracije,aliteracije,aliteracijama,aliteracijama
alkoholičar,muški,alkoholičara,alkoholičaru,alkoholičara,alkoholičar,alkoholičaru,alkoholičarom,alkoholičari,alkoholičara,alkoholičarima,alkoholičare,alkoholičari,alkoholičarima,alkoholičarima
alkohol,muški,alkohola,alkoholu,alkohol,alkohole,alkoholu,alkoholom,alkoholi,alkohola,alkoholima,alkohole,alkoholi,alkoholima,alkoholima
alosterija,ženski,alosterije,alosteriji,alosteriju,alosterijo,alosteriji,alosterijom,alosterije,alosterija,alosterijama,alosterije,alosterije,alosterijama,alosterijama
aktivnost,ženski,aktivnosti,aktivnosti,aktivnost,aktivnosti,aktivnosti,aktivnošću,aktivnosti,aktivnosti,aktivnostima,aktivnosti,aktivnosti,aktivnostima,aktivnostima
abdikacija,ženski,abdikacije,abdikaciji,abdikaciju,abdikacijo,abdikaciji,abdikacijom,abdikacije,abdikacija,abdikacijama,abdikacije,abdikacije,abdikacijama,abdikacijama
akustika,ženski,akustike,akustici,akustiku,akustiko,akustici,akustikom,akustike,akustika,akustikama,akustike,akustike,akustikama,akustikama
abažur,muški,abažura,abažuru,abažur,abažure,abažuru,abažurom,abažuri,abažura,abažurima,abažure,abažuri,abažurima,abažurima
aluminij,muški,aluminija,aluminiju,aluminij,aluminiju,aluminiju,aluminijem,aluminiji,aluminija,aluminijima,aluminije,aluminiji,aluminijima,aluminijima
Amerika,ženski,Amerike,Americi,Ameriku,Ameriko,Americi,Amerikom,Amerike,Amerika,Amerikama,Amerike,Amerike,Amerikama,Amerikama
Amerikanac,muški,Amerikanca,Amerikancu,Amerikanca,Amerikanče,Amerikancu,Amerikancem,Amerikanci,Amerikanaca,Amerikancima,Amerikance,Amerikanci,Amerikancima,Amerikancima
Amerikanka,ženski,Amerikanke,Amerikanki,Amerikanku,Amerikanko,Amerikanki,Amerikankom,Amerikanke,Amerikanki,Amerikankama,Amerikankama,Amerikanke,Amerikankama,Amerikankama
amfibol,muški,amfibola,amfibolu,amfibol,amfibole,amfibolu,amfibolom,amfiboli,amfibola,amfibolima,amfibole,amfiboli,amfibolima,amfibolima
amfibolit,muški,amfibolita,amfibolitu,amfibolit,amfibolite,amfibolitu,amfibolitom,amfiboliti,amfibolita,amfibolitima,amfibolite,amfiboliti,amfibolitima,amfibolitima
anafora,ženski,anafore,anafori,anaforu,anaforo,anafori,anaforom,anafore,anafora,anaforama,anafore,anafore,anaforama,anaforama
Anaksagora,muški,Anaksagore,Anaksagori,Anaksagoru,Anaksagoro,Anaksagori,Anaksagorom,Anaksagore,Anaksagora,Anaksagorama,Anaksagore,Anaksagore,Anaksagorama,Anaksagorama
ananas,muški,ananasa,ananasu,ananasa,ananase,ananasu,ananasom,ananasi,ananasa,ananasima,ananasa,ananasi,ananasima,ananasima
anestezija,ženski,anestezije,anesteziji,anesteziju,anestezijo,anesteziji,anestezijom,anestezije,anestezija,anestezijama,anestezije,anestezije,anestezijama,anestezijama
anesteziologija,ženski,anesteziologije,anesteziologiji,anesteziologiju,anesteziologijo,anesteziologiji,anesteziologijom,anesteziologije,anesteziologija,anesteziologijama,anesteziologija,anesteziologije,anesteziologijama,anesteziologijama
andezit,muški,andezita,andezitu,andezit,andezite,andezitu,andezitom,andeziti,andezita,andezitima,andezite,andeziti,andezitima,andezitima
andradit,muški,andradita,andraditu,andradit,andradite,andraditu,andraditom,andraditi,andradita,andraditima,andradite,andraditi,andraditima,andraditima
anortit,muški,anortita,anortitu,anortit,anortite,anortitu,anortitom,anortiti,anortita,anortitima,anortite,anortitu,anortitima,anortitima
anortozit,muški,anortozita,anortozitu,anortozit,anortozite,anortozitu,anortozitom,anortoziti,anortozita,anortozitima,anortozite,anortoziti,anortozitima,anortozitima
anatomija,ženski,anatomije,anatomiji,anatomiju,anatomijo,anatomiji,anatomijom,anatomije,anatomija,anatomijama,anatomije,anatomije,anatomijama,anatomijama
anegdota,ženski,anegdote,anegdoti,anegdotu,anegdoto,anegdoti,anegdotom,anegdote,anegdota,anegdotama,anegdote,anegdote,anegdotama,anegdotama
arbun,muški,arbuna,arbunu,arbuna,arbun,arbunu,arbunom,arbuni,arbuna,arbunima,arbuni,arbuni,arbunima,arbunima
argument,muški,argumenta,argumentu,argument,argumente,argumentu,argumentom,argumenti,argumenata,argumentima,argumente,argumenti,argumentima,argumentima
anticiklona,ženski,anticiklone,anticikloni,anticiklonu,anticiklono,anticikloni,anticiklonom,anticiklone,anticiklona,anticiklonama,anticiklone,anticiklone,anticiklonama,anticiklonama
antropolog,muški,antropologa,antropologu,antropologa,antropolože,antropologu,antropologom,antropolozi,antropologe,antropolozima,antropologe,antropolozi,antropolozima,antropolozima
aorta,ženski,aorte,aorti,aorte,aorto,aorti,aortom,aorte,aorti,aortama,aorte,aorte,aortama,aortama
aparat,muški,aparata,aparatu,aparat,aparate,aparatu,aparatom,aparati,aparata,aparatima,aparate,aparati,aparatima,aparatima
apatija,ženski,apatije,apatiji,apatiju,apatijo,apatiji,apatijom,apatije,apatija,apatijama,apatije,apatije,apatijama,apatijama
apokalipsa,ženski,apokalipse,apokalipsi,apokalipsu,apokalipso,apokalipsi,apokalipsom,apokalipse,apokalipsa,apokalipsama,apokalipse,apokalipse,apokalipsama,apokalipsama
apokrif,ženski,apokrifa,apokrifu,apokrif,apokrife,apokrifu,apokrifom,apokrifi,apokrifa,apokrifima,apokrife,apokrifi,apokrifima,apokrifima
apologet,muški,apologeta,apologetu,apologeta,apologete,apologetu,apologetom,apologeti,apologeta,apologetima,apologete,apologeti,apologetima,apologetima
apoteza,ženski,apoteze,apotezi,apotezu,apotezo,apotezi,apotezom,apoteze,apoteza,apotezama,apoteze,apoteze,apotezama,apotezama
apozicija,ženski,apozicije,apoziciji,apoziciju,apozicijo,apoziciji,apozicijom,apozicije,apozicija,apozicijama,apozicije,apozicije,apozicijama,apozicijama
aranžer,muški,aranžera,aranžeru,aranžera,aranžeru,aranžeru,aranžerom,aranžeri,aranžera,aranžerima,aranžere,aranžeri,aranžerima,aranžerima
arena,ženski,arene,areni,arenu,areno,areni,arenom,arene,arena,arenama,arene,arene,arenama,arenama
arheolog,muški,arheologa,arheologu,arheologa,arheolože,arheologu,arheologom,arheolozi,arheologe,arheolozima,arheologe,arheolozi,arheolozima,arheolozima
apeiron,muški,apeirona,apeironu,apeirona,apeirone,apeironu,apeironom,apeironi,apeirona,apeironima,apeirona,apeironi,apeironima,apeironima
aplit,muški,aplita,aplitu,aplit,aplite,aplitu,aplitom,apliti,aplita,aplitima,aplite,apliti,aplitima,aplitima
apsolut,muški,apsoluta,apsolutu,apsoluta,apsolute,apsolutu,apsolutom,apsoluti,apsoluta,apsolutima,apsoluta,apsoluti,apsolutima,apsolutima
apsolutiv,muški,apsolutiva,apsolutivu,apsolutiv,apsolutiv,apsolutivu,apsolutivom,apsolutivi,apsolutiva,apsolutivima,apsolutive,apsolutivi,apsolutivima,apsolutivima
arhaik,muški,arhaika,arhaiku,arhaik,arhaiče,arhaiku,arhaikom,arhaici,arhaika,arhaicima,arhaike,arhaici,arhaicima,arhaicima
antiteza,ženski,antiteze,antitezi,antitezu,antitezo,antitezi,antitezom,antiteze,antiteza,antitezama,antiteze,antiteze,antitezama,antitezama
antropologija,ženski,antropologije,antropologiji,antropologiju,antropologijo,antropologiji,antropologijom,antropologije,antropologija,antropologijama,antropologije,antropologije,antropologijama,antropologijama
aprecijacija,ženski,aprecijacije,aprecijaciji,aprecijaciju,aprecijacijo,aprecijaciji,aprecijacijom,aprecijacije,aprecijacija,aprecijacijama,aprecijacije,aprecijacije,aprecijacijama,aprecijacijama
apstrakcija,ženski,apstrakcije,apstrakciji,apstrakciju,apstrakcijo,apstrakciji,apstrakcijom,apstrakcije,apstrakcija,apstrakcijama,apstrakcije,apstrakcije,apstrakcijama,apstrakcijama
arheologija,ženski,arheologije,arheologiji,arheologiju,arheologijo,arheologiji,arheologijom,arheologije,arheologija,arheologijama,arheologije,arheologije,arheologijama,arheologijama
arhitektura,ženski,arhitekture,arhitekturi,arhitekturu,arhitekturo,arhitekturi,arhitekturom,arhitekture,arhitektura,arhitekturama,arhitekture,arhitekture,arhitekturama,arhitekturama
antiklinala,ženski,antiklinale,antiklinali,antiklinalu,antiklinalo,antiklinali,antiklinalom,antiklinale,antiklinala,antiklinalama,antiklinale,antiklinale,antiklinalama,antiklinalama
asonanca,ženski,asonance,asonanci,asonancu,asonanco,asonanci,asonancom,asonance,asonanci,asonancama,asonance,asonance,asonancama,asonancama
artikl,muški,artikla,artiklu,artikl,artikle,artiklu,artiklom,artikli,artikala,artiklima,artikle,artikli,artiklima,artiklima
arterija,ženski,arterije,arteriji,arterije,arterijo,arteriji,arterijom,arterije,arterija,arterijama,arterije,arterije,arterijama,arterijama
artičoka,ženski,artičoke,artičoki,artičoku,artičoko,artičoki,artičokom,artičoke,artičoka,artičokama,artičoke,artičoke,artičokama,artičokama
asketizam,muški,asketizma,asketizmu,asketizam,asketizme,asketizmu,asketizmom,asketizmi,asketizama,asketizmima,asketizme,asketizmi,asketizmima,asketizmima
askeza,ženski,askeze,askezi,askezu,askezo,askezi,askezom,askeze,askeza,askezama,askeze,askeze,askezama,askezama
asortiman,muški,asortimana,asortimanu,asortiman,asortimane,asortimanu,asortimanom,asortimani,asortimana,asortimanima,asortimane,asortimani,asortimanima,asortimanima
astrologija,ženski,astrologije,astrologiji,astrologije,astrologijo,astrologiji,astrologijom,astrologije,astrologija,astrologijama,astrologija,astrologije,astrologijama,astrologijama
astronom,muški,astronoma,astronomu,astronoma,astronome,astronomu,astronomom,astronomi,astronome,astronomima,astronome,astronomi,astronomima,astronomima
atmosfera,ženski,atmosfere,atmosferi,atmosferu,atmosfero,atmosferi,atmosferom,atmosfere,atmosfera,atmosferama,atmosfere,atmosfere,atmosferama,atmosferama
atribut,muški,atributa,atributu,atribut,atribute,atributu,atributom,atributi,atributa,atributima,atribute,atributi,atributima,atributima
autocesta,ženski,autoceste,autocesti,autocestu,autocesto,autocesti,autocestom,autoceste,autocesta,autocestama,autocesta,autoceste,autocestama,autocestama
as,muški,asa,asu,as,asu,asu,asom,asovi,asova,asovima,asove,asovi,asovima,asovima
asfalt,muški,asfalta,asfaltu,asfalt,asfalte,asfaltu,asfaltom,asfalti,asfalta,asfaltima,asfalte,asfalti,asfaltima,asfaltima
asteroid,muški,asteroida,asteroidu,asteroid,asteroide,asteroidu,asteroidom,asteroidi,asteroida,asteroidima,asteroide,asteroidi,asteroidima,asteroidima
atom,muški,atoma,atomu,atom,atome,atomu,atomom,atomi,atoma,atomima,atome,atomi,atomima,atomima
autizam,muški,autizma,autizmu,autizam,autizme,autizmu,autizmom,autizmi,autizama,autizmima,autizme,autizmi,autizmima,autizmima
autobus,muški,autobusa,autobusu,autobus,autobuse,autobusu,autobusom,autobusi,autobusa,autobusima,autobuse,autobusi,autobusima,autobusima
automobil,muški,automobila,automobilu,automobil,automobilu,automobilu,automobilom,automobili,automobila,automobilima,automobile,automobili,automobilima,automobilima
autoput,muški,autoputa,autoputu,autoput,autopute,autoputu,autoputom,autoputovi,autoputova,autoputovima,autoputove,autoputovi,autoputovima,autoputovima
avion,muški,aviona,avionu,avion,avione,avionu,avionom,avioni,aviona,avionima,avione,avioni,avionima,avionima
azbest,muški,azbesta,azbestu,azbest,azbeste,azbestu,azbestom,azbesti,azbesta,azbestima,azbeste,azbesti,azbestima,azbestima
aristokracija,ženski,aristokracije,aristokraciji,aristokraciju,aristokracijo,aristokraciji,aristokracijom,aristokracije,aristokracija,aristokracijama,aristokracije,aristokracije,aristokracijama,aristokracijama
aritmetika,ženski,aritmetike,aritmetici,aritmetiku,aritmetiko,aritmetici,aritmetikom,aritmetike,aritmetika,aritmetikama,aritmetike,aritmetike,aritmetikama,aritmetikama
astenosfera,ženski,astenosfere,astenosferi,astenosferu,astenosfero,astenosferi,astenosferom,astenosfere,astenosfera,astenosferama,astenosfere,astenosfere,astenosferama,astenosferama
astrofizika,ženski,astrofizike,astrofizici,astrofiziku,astrofiziko,astrofizici,astrofizikom,astrofizike,astrofizika,astrofizikama,astrofizike,astrofizike,astrofizikama,astrofizikama
astronomija,ženski,astronomije,astronomiji,astronomije,astronomijo,astronomiji,astronomijom,astronomije,astronomija,astronomijama,astronomija,astronomije,astronomijama,astronomijama
banka,ženski,banke,banci,banku,banko,banci,bankom,banke,banki,bankama,banke,banke,bankama,bankama
barka,ženski,barke,barci,barku,barko,barci,barkom,barke,barki,barkama,barke,barke,barkama,barkama
bajt,muški,bajta,bajtu,bajta,bajte,bajtu,bajtom,bajtovi,bajtova,bajtovima,bajtove,bajtovi,bajtovima,bajtovima
ban,muški,bana,banu,bana,ban,banu,banom,banovi,banova,banovima,banovi/a,banovi,banovima,banovima
banak,muški,banka,banku,banak,banče,banku,bankom,banci,banaka,bancima,banke,banke,bancima,bancima
bar,muški,bara,baru,bar,bar,baru,barom,barovi,barova,barovima,barovi/a,barovi,barovima,barovima
bas,muški,basa,basu,bas,bas,basu,basom,basovi,basova,basovima,basovi/a,basovi,basovima,basovima
bakica,ženski,bakice,bakici,bakicu,bakico,bakici,bakicom,bakice,bakica,bakicama,bakica,bakice,bakicama,bakicama
baptist,muški,baptista,baptistu,baptista,baptiste,baptistu,baptistom,baptisti,baptista,baptistima,baptiste,baptisti,baptistima,baptistima
baraka,ženski,barake,baraci,baraku,barako,baraci,barakom,barake,baraka,barakama,barake,barake,barakama,barakama
barut,muški,baruta,barutu,barut,barute,barutu,barutom,baruti,baruta,barutima,barute,baruti,barutima,barutima
baršun,muški,baršuna,baršunu,baršuna,baršune,baršunu,baršunom,baršuni,baršuna,baršunima,baršuna,baršuni,baršunima,baršunima
badem,muški,badema,bademu,badem,bademe,bademu,bademom,bademi,badema,bademima,bademe,bademi,bademima,bademima
balkon,muški,balkona,balkonu,balkon,balkone,balkonu,balkonom,balkoni,balkona,balkonima,balkone,balkoni,balkonima,balkonima
balun,muški,baluna,balunu,baluna,balune,balunu,balunom,baluni,baluna,balunima,baluna,baluni,balunima,balunima
aždaja,ženski,aždaje,aždaji,aždaju,aždajo,aždaji,aždajom,aždaje,aždaja,aždajama,aždaje,aždaje,aždajama,aždajama
baba,ženski,babe,babi,babu,babo,babi,babom,babe,baba,babama,babe,babe,babama,babama
bajka,ženski,bajke,bajci,bajku,bajko,bajci,bajkom,bajke,bajki,bajkama,bajke,bajke,bajkama,bajkama
bajuneta,ženski,bajunete,bajuneti,bajunetu,bajuneto,bajuneti,bajunetom,bajunete,bajuneta,bajunetama,bajunete,bajunete,bajunetama,bajunetama
baka,ženski,bake,baki,baku,bako,baki,bakom,bake,baka,bakama,baka,bake,bakama,bakama
balada,ženski,balade,baladi,baladu,balado,baladi,baladom,balade,balada,baladama,balade,balade,baladama,baladama
banana,ženski,banane,banani,bananu,banano,banani,bananom,banane,banana,bananama,banane,banane,bananama,bananama
bat,muški,bata,batu,bat,bate,batu,batom,bati,bata,batima,bate,bati,batima,batima
baglama,ženski,baglame,baglami,baglamu,baglamo,baglami,baglamom,baglame,baglama,baglamama,baglame,baglame,baglamama,baglamama
balota,ženski,balote,baloti,balotu,baloto,baloti,balotom,balote,balota,balotama,balote,balote,balotama,balotama
basna,ženski,basne,basni,basnu,basno,basni,basnom,basne,basni,basnama,basne,basne,basnama,basnama
bastit,muški,bastita,bastitu,bastit,bastite,bastitu,bastitom,bastiti,bastita,bastitima,bastite,bastiti,bastitima,bastitima
batina,ženski,batine,batini,batinu,batino,batini,batinom,batine,batina,batinama,batine,batine,batinama,batinama
bazen,muški,bazena,bazenu,bazen,bazen,bazenu,bazenom,bazeni,bazena,bazenima,bazene,bazeni,bazenima,bazenima
bačva,ženski,bačve,bačvi,bačvu,bačvo,bačvi,bačvom,bačve,bačvi,bačvama,bačva/i,bačve,bačvama,bačvama
bevanda,ženski,bevande,bevandi,bevandu,bevando,bevandi,bevandom,bevande,bevandi,bevandama,bevande,bevande,bevandama,bevandama
beatifikacija,ženski,beatifikacije,beatifikaciji,beatifikaciju,beatifikacijo,beatifikaciji,beatifikacijom,beatifikacije,beatifikacija,beatifikacijama,beatifikacije,beatifikacije,beatifikacijama,beatifikacijama
beherovka,ženski,beherovke,beherovki,beherovku,beherovko,beherovki,beherovkom,beherovke,beherovki,beherovkama,beherovke,beherovke,beherovkama,beherovkama
biljka,ženski,biljke,biljci,biljku,biljko,biljci,biljkom,biljke,biljki,biljkama,biljke,biljke,biljkama,biljkama
bespomoćnost,ženski,bespomoćnosti,bespomoćnosti,bespomoćnost,bespomoćnosti,bespomoćnosti,bespomoćnošću,bespomoćnosti,bespomoćnosti,bespomoćnostima,bespomoćnosti,bespomoćnosti,bespomoćnostima,bespomoćnostima
bik,muški,bika,biku,bika,biče,biku,bikom,bikovi,bikova,bikovima,bikove,bikovi,bikovima,bikovima
belot,muški,belota,belotu,belot,belote,belotu,belotom,beloti,belota,belotima,belote,beloti,belotima,belotima
benefaktiv,muški,benefaktiva,benefaktivu,benefaktiv,benefaktiv,benefaktivu,benefaktivom,benefaktivi,benefaktiva,benefaktivima,benefaktive,benefaktivi,benefaktivima,benefaktivima
benzin,muški,benzina,benzinu,benzin,benzine,benzinu,benzinom,benzini,benzina,benzinima,benzine,benzini,benzinima,benzinima
bit,muški,bita,bitu,bita,bite,bitu,bitom,bitovi,bitova,bitovima,bitove,bitovi,bitovima,bitovima
besanica,ženski,besanice,besanici,besanicu,besanico,besanici,besanicom,besanice,besanica,besanicama,besanice,besanice,besanicama,besanicama
beskućnik,muški,beskućnika,beskućniku,beskućnika,beskućniče,beskućniku,beskućnikom,beskućnici,beskućnika,beskućnicima,beskućnike,beskućnici,beskućnicima,beskućnicima
bezdan,muški,bezdana,bezdanu,bezdan,bezdane,bezdanu,bezdanom,bezdani,bezdana,bezdanima,bezdane,bezdani,bezdanima,bezdanima
bijeda,ženski,bijede,bijedi,bijedu,bijedo,bijedi,bijedom,bijede,bijeda,bijedama,bijede,bijede,bijedama,bijedama
bijes,muški,bijesa,bijesu,bijesa,bijesu,bijesu,bijesom,bjesovi,bjesova,bjesovima,bjesova,bjesovi,bjesovima,bjesovima
biolog,muški,biologa,biologu,biologa,biolože,biologu,biologom,biolozi,biologe,biolozima,biologe,biolozi,biolozima,biolozima
bioplin,muški,bioplina,bioplinu,bioplin,biopline,bioplinu,bioplinom,bioplinovi,bioplinova,bioplinovima,bioplinove,bioplinovi,bioplinovima,bioplinovima
biskup,muški,biskupa,biskupu,biskupa,biskupe,biskupu,biskupom,biskupi,biskupa,biskupima,biskupe,biskupi,biskupima,biskupima
besjeda,ženski,besjede,besjedi,besjedu,besjedo,besjedi,besjedom,besjede,besjeda,besjedama,besjede,besjede,besjedama,besjedama
biologija,ženski,biologije,biologiji,biologiju,biologijo,biologiji,biologijom,biologije,biologija,biologijama,biologije,biologije,biologijama,biologijama
baterija,ženski,baterije,bateriji,bateriju,baterijo,bateriji,baterijom,baterije,baterija,baterijama,baterije,baterije,baterijama,baterijama
baza,ženski,baze,bazi,bazu,bazo,bazi,bazom,baze,baza,bazama,baze,baze,bazama,bazama
bena,ženski,bene,beni,benu,beno,beni,benom,bene,bena,benama,bene,bene,benama,benama
bjelanjak,muški,bjelanjka,bjelanjku,bjelanjak,bjelanjče,bjelanjkom,bjelanjku,bjelanjci,bjelanjaka,bjelanjcima,bjelanjke,bjelanjci,bjelanjcima,bjelanjcima
biotit,muški,biotita,biotitu,biotit,biotite,biotitu,biotitom,biotiti,biotita,biotitima,biotite,biotiti,biotitima,biotitima
bazalt,muški,bazalta,bazaltu,bazalt,bazalte,bazaltu,bazaltom,bazalti,bazalta,bazaltima,bazalte,bazalti,bazaltima,bazaltima
bažul,muški,bažula,bažulu,bažul,bažule,bažulu,bažulom,bažuli,bažula,bažulima,bažule,bažuli,bažulima,bažulima
beznađe,srednji,beznađa,beznađu,beznađe,beznađe,beznađu,beznađem,beznađa,beznađa,beznađima,beznađa,beznađa,beznađima,beznađima
bjegunac,muški,bjegunca,bjeguncu,bjegunca,bjegunče,bjeguncu,bjeguncem,bjegunci,bjegunaca,bjeguncima,bjegunce,bjegunci,bjeguncima,bjeguncima
bičva,ženski,bičve,bičvi,bičvu,bičvo,bičvi,bičvom,bičve,bičvi,bičvama,bičve,bičve,bičvama,bičvama
bomba,ženski,bombe,bombi,bombu,bombo,bombi,bombom,bombe,bombi,bombama,bombe,bombe,bombama,bombama
blagajnica,ženski,blagajnice,blagajnici,blagajnicu,blagajnice,blagajnici,blagajnicom,blagajnice,blagajnica,blagajnicama,blagajnice,blagajnice,blagajnicama,blagajnicama
blagajnik,muški,blagajnika,blagajniku,blagajnika,blagajniče,blagajniku,blagajnikom,blagajnici,blagajnika,blagajnicima,blagajnike,blagajnici,blagajnicima,blagajnicima
bliskoznačnica,ženski,bliskoznačnice,bliskoznačnici,bliskoznačnicu,bliskoznačnico,bliskoznačnici,bliskoznačnicom,bliskoznačnice,bliskoznačnica,bliskoznačnicama,bliskoznačnice,bliskoznačnice,bliskoznačnicama,bliskoznačnicama
blizina,ženski,blizine,blizini,blizinu,blizino,blizini,blizinom,blizine,blizina,blizinama,blizine,blizine,blizinama,blizinama
bluza,ženski,bluze,bluzi,bluzu,bluzo,bluzi,bluzom,bluze,bluza,bluzama,bluze,bluze,bluzama,bluzama
bječva,ženski,bječve,bječvi,bječvu,bječvo,bječvi,bječvom,bječve,bječava,bječvama,bječve,bječve,bječvama,bječvama
blagovaonica,ženski,blagovaonice,blagovaonici,blagovaonicu,blagovaonico,blagovaonici,blagovaonicom,blagovaonice,blagovaonica,blagovaonicama,blagovaonice,blagovaonice,blagovaonicama,blagovaonicama
boja,ženski,boje,boji,boju,bojo,boji,bojom,boje,boja,bojama,boje,boje,bojama,bojama
bohem,muški,bohema,bohemu,bohema,boheme,bohemu,bohemom,bohemi,bohema,bohemima,bohema,bohemi,bohemima,bohemima
bolnica,ženski,bolnice,bolnici,bolnicu,bolnico,bolnici,bolnicom,bolnice,bolnica,bolnicama,bolnice,bolnice,bolnicama,bolnicama
bolest,ženski,bolesti,bolesti,bolest,bolesti,bolesti,bolešću,bolesti,bolesti,bolestima,bolesti,bolesti,bolestima,bolestima
borovnica,ženski,borovnice,borovnici,borovnicu,borovnice,borovnici,borovnicom,borovnice,borovnica,borovnicama,borovnice,borovnice,borovnicama,borovnicama
Bosanac,muški,Bosanca,Bosancu,Bosanca,Bosanče,Bosancu,Bosancem,Bosanci,Bosanaca,Bosancima,Bosance,Bosanci,Bosancima,Bosancima
