j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
stav,muški,stava,stavu,stav,stave,stavu,stavom,stavovi,stavova,stavovima,stavove,stavovi,stavovima,stavovima
stolac,muški,stolca,stolcu,stolac,stolče,stolcu,stolcem,stolci,stolaca,stolcima,stolce,stolci,stolcima,stolcima
spremnik,muški,spremnika,spremniku,spremnik,spremniče,spremniku,spremnikom,spremnici,spremnika,spremnicima,spremnike,spremnici,spremnicima,spremnicima
stanovnik,muški,stanovnika,stanovniku,stanovnika,stanovniče,stanovniku,stanovnikom,stanovnici,stanovnika,stanovnicima,stanovnike,stanovnici,stanovnicima,stanovnicima
stečevina,ženski,stečevine,stečevini,stečevinu,stečevino,stečevini,stečevinom,stečevine,stečevina,stečevinama,stečevine,stečevine,stečevinama,stečevinama
stijena,ženski,stijene,stijeni,stijenu,stijeno,stijeni,stijenom,stijene,stijena,stijenama,stijene,stijene,stijenama,stijenama
sprava,ženski,sprave,spravi,spravu,spravo,spravi,spravom,sprave,sprava,spravama,sprave,sprave,spravama,spravama
sramota,ženski,sramote,sramoti,sramotu,sramoto,sramoti,sramotom,sramote,sramota,sramotama,sramote,sramote,sramotama,sramotama
srce,srednji,srca,srcu,srce,srce,srcu,srcem,srca,srca,srcima,srca,srca,srcima,srcima
stanje,srednji,stanja,stanju,stanje,stanje,stanju,stanjem,stanja,stanja,stanjima,stanja,stanja,stanjima,stanjima
spremište,srednji,spremišta,spremištu,spremište,spremište,spremištu,spremištem,spremišta,spremišta,spremištima,spremišta,spremišta,spremištima,spremištima
stolar,muški,stolara,stolaru,stolara,stolaru,stolaru,stolarom,stolari,stolara,stolarima,stolare,stolari,stolarima,stolarima
stopalo,srednji,stopala,stopalu,stopalo,stopalo,stopalu,stopalom,stopala,stopala,stopalima,stopala,stopala,stopalima,stopalima
sumnja,ženski,sumnje,sumnji,sumnju,sumnjo,sumnji,sumnjom,sumnje,sumnji,sumnjama,sumnje,sumnje,sumnjama,sumnjama
subjekt,muški,subjekta,subjektu,subjekt,subjekte,subjektu,subjektom,subjekti,subjekata,subjektima,subjekte,subjekti,subjektima,subjektima
stvar,ženski,stvari,stvari,stvar,stvari,stvari,stvarju,stvari,stvari,stvarima,stvari,stvari,stvarima,stvari
subota,ženski,subote,suboti,subotu,suboto,suboti,subotom,subote,subota,subotama,subote,subote,subotama,subotama
sudac,muški,suca,sucu,suca,suče,sucu,sucem,suci,sudaca,sucima,suce,suci,sucima,sucima
sudbina,ženski,sudbine,sudbini,sudbinu,sudbino,sudbini,sudbinom,sudbine,sudbina,sudbinama,sudbine,sudbine,sudbinama,sudbinama
sudionik,muški,sudionika,sudioniku,sudionika,sudioniče,sudioniku,sudionikom,sudionici,sudionika,sudionicima,sudionike,sudionici,sudionicima,sudionicima
suglasnik,muški,suglasnika,suglasniku,suglasnik,suglasniče,suglasniku,suglasnikom,suglasnici,suglasnika,suglasnicima,suglasnike,suglasnici,suglasnicima,suglasnicima
sukob,muški,sukoba,sukobu,sukob,sukobe,sukobu,sukobom,sukobi,sukoba,sukobima,sukobe,sukobi,sukobima,sukobima
suglasnost,ženski,suglasnosti,suglasnosti,suglasnost,suglasnosti,suglasnosti,suglasnošću,suglasnosti,suglasnosti,suglasnostima,suglasnosti,suglasnosti,suglasnostima,suglasnostima
stroj,muški,stroja,stroju,stroj,stroju,stroju,strojem,strojevi,strojeva,strojevima,strojeve,strojevi,strojevima,strojevima
student,muški,studenta,studentu,studenta,studente,studentu,studentom,studenti,studenata,studentima,studente,studenti,studentima,studentima
stupanj,muški,stupnja,stupnju,stupanj,stupnju,stupnju,stupnjem,stupnjevi,stupnjeva,stupnjevima,stupnjeve,stupnjevi,stupnjevima,stupnjevima
stvaralac,muški,stvaraoca,stvaraocu,stvaraoca,stvaraoče,stvaraocu,stvaraocem,stvaraoci,stvaralaca,stvaraocima,stvaraoce,stvaraoci,stvaraocima,stvaraocima
stvaratelj,muški,stvaratelja,stvaratelju,stvaratelja,stvaratelju,stvaratelju,stvarateljem,stvaratelji,stvaratelja,stvarateljima,stvaratelje,stvaratelji,stvarateljima,stvarateljima
